Metric,SG_max,WCG,SG_mean
AUROC Joint,0.8453831303070168,0.8540853291836114,0.8448562300319489
Max F1 Joint,0.7284841754580789,0.630673674151935,0.731997834325934
Acc Joint,0.804,0.9050666666666667,0.806
SHD Joint,0.5240641711229946,0.6586493987049029,0.5187165775401069
Max F1 th Joint,0.15245598554611206,0.12739336490631104,0.05197678133845329
Acc th Joint,0.1517356208447988,0.28282828846010116,0.07116479219573625
SHD th Joint,0.1517356208447988,0.28282828846010116,0.07116479219573625
Null AUROC Joint,0.5,0.5,0.5
NULL F1 Joint,0.544395924308588,0.25195198694790816,0.544395924308588
NULL ACC Joint,0.626,0.8558666666666667,0.626
NULL SHD Joint,1.0,1.0,1.0
F1_FPR Joint,0.134185303514377,0.05483720205639508,0.15079872204472844
F1_TPR Joint,0.7005347593582888,0.6096207215541165,0.7219251336898396
F1_TNR Joint,0.865814696485623,0.9451627979436049,0.8492012779552716
F1_FNR Joint,0.2994652406417112,0.39037927844588344,0.27807486631016043
F1_PREC Joint,0.7572254335260116,0.6518298714144412,0.7409440175631175
F1_REC Joint,0.7005347593582888,0.6096207215541165,0.7219251336898396
ACC_FPR Joint,0.13482428115015974,0.027885963545723633,0.11757188498402556
ACC_TPR Joint,0.7016042780748664,0.5069380203515264,0.6780748663101605
ACC_TNR Joint,0.8651757188498402,0.9721140364542764,0.8824281150159744
ACC_FNR Joint,0.2983957219251337,0.49306197964847365,0.32192513368983955
ACC_PREC Joint,0.7566320645905421,0.7537826685006878,0.7750611246943765
ACC_REC Joint,0.7016042780748664,0.5069380203515264,0.6780748663101605
SHD_FPR Joint,0.13482428115015974,0.027885963545723633,0.11757188498402556
SHD_TPR Joint,0.7016042780748664,0.5069380203515264,0.6780748663101605
SHD_TNR Joint,0.8651757188498402,0.9721140364542764,0.8824281150159744
SHD_FNR Joint,0.2983957219251337,0.49306197964847365,0.32192513368983955
SHD_PREC Joint,0.7566320645905421,0.7537826685006878,0.7750611246943765
SHD_REC Joint,0.7016042780748664,0.5069380203515264,0.6780748663101605
AUROC individual,0.8598397803692692,0.8736326641775729,0.8646119113170971
Max F1 individual,0.8102411009139253,0.7158343600333008,0.8136854142400817
Acc individual,0.8544000000000003,0.9230666666666661,0.8568000000000003
SHD individual,0.3833478465978463,0.513958600223306,0.3789543789543787
Max F1 th individual,0.24203223953023553,0.2672388789150864,0.08394277446903288
Acc th individual,0.1944918492448198,0.272198067557528,0.06968204671215103
SHD th individual,0.1944918492448198,0.272198067557528,0.06968204671215103
Null AUROC individual,0.5,0.5,0.5
NULL F1 individual,0.5372304976438356,0.2497959259747567,0.5372304976438356
NULL ACC individual,0.6260000000000003,0.8558666666666663,0.6260000000000003
NULL SHD individual,1.0,1.0,1.0
F1_FPR individual,0.15825580473877682,0.048013600456691334,0.16513638129156694
F1_TPR individual,0.7016965256965255,0.585482490548667,0.720301143301143
F1_TNR individual,0.8417441952612227,0.9519863995433084,0.8348636187084328
F1_FNR individual,0.29830347430347415,0.4145175094513329,0.2796988566988566
F1_PREC individual,0.7446161215879882,0.6998834167866202,0.7446250391765092
F1_REC individual,0.7016965256965255,0.585482490548667,0.720301143301143
ACC_FPR individual,0.1041280140568066,0.023020840305597087,0.10596762254773089
ACC_TPR individual,0.7793466533466531,0.6170620915032681,0.7878701021201019
ACC_TNR individual,0.8958719859431931,0.9769791596944027,0.8940323774522687
ACC_FNR individual,0.22065334665334668,0.382937908496732,0.2121298978798979
ACC_PREC individual,0.850237616958205,0.8510685710058773,0.8458262921718801
ACC_REC individual,0.7793466533466531,0.6170620915032681,0.7878701021201019
SHD_FPR individual,0.1041280140568066,0.023020840305597087,0.10596762254773089
SHD_TPR individual,0.7793466533466531,0.6170620915032681,0.7878701021201019
SHD_TNR individual,0.8958719859431931,0.9769791596944027,0.8940323774522687
SHD_FNR individual,0.22065334665334668,0.382937908496732,0.2121298978798979
SHD_PREC individual,0.850237616958205,0.8510685710058773,0.8458262921718801
SHD_REC individual,0.7793466533466531,0.6170620915032681,0.7878701021201019
runtime,0 days 00:00:09.160461,0 days 00:00:09.160461,0 days 00:00:09.160461
path,data_release/obs_add_small/15_2025-12-02_21-54-14-666721,data_release/obs_add_small/15_2025-12-02_21-54-14-666721,data_release/obs_add_small/15_2025-12-02_21-54-14-666721
